Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
houses books and artifacts from everywhere throughout all of history.  Ritual. Cost,Master,CRAFTING AND LABOR,Passives,,,,,,"Pool) Requires a plot marshal and a book. Complete the ritual on a book to open a network to the Vault of Lynthul within that book. Write a question in the book, and marshal will answer. You have 15 minutes to ask them anything, with a focus on historical events, people, places, and things. Once completed, you may request 1 item from the vault. If it is there, you may or may not get it before the end of the event or at some point during the next one. The more powerful or more rare the item is, the better chance that it will be cursed. Useable: Once Per Event."
Perceptive Partner,Master,CRAFTING AND LABOR,Passives,3,,,Group Effort,,The benefit of “Group Effort” changes to +2 instead of +1.
Roundabout Information,Master,CRAFTING AND LABOR,Passives,4,,,Knowledgeable,,"Once per hour, you can answer a knowledge challenge for a knowledge that you do not have that is less than or equal to your highest level knowledge. When using, call “Roundabout Knowledge.”"
Wizened Collector,Master,CRAFTING AND LABOR,Passives,4,,,Appraisal,,"You can now passively identify magic items as if they were normal items, meaning you know what they do without needing to spend time or pool. When you use Appraisal on a Treasure, you can see through the effects of Scuff Up and Spit Polish."
Bibliothecary,Master,CRAFTING AND LABOR,Passives,6,,,,,". You know the library like the back of your hand and can enhance it to allow it to be used more efficiently by yourself and others. Must be used on a “Library.” For the rest of the event, the Library counts as an “Archive.”  An Archive counts as a workbench, and all rituals, crafting, and talents that take 5 minutes or more can be done in ½ the normal time (cannot be reduced past 1 minute). Also, utilizing “Research” during or after the event that it was created and specifying that this Archive is being used, grants yourself and others +1 level to any knowledge utilized in that research. The Archive reverts to a Library at the start of the next event. This may be used along with other Library augmentations."
Pinpoint Insight,Master,CRAFTING AND LABOR,Passives,5,,,,,"Observe a target in combat for at least 1 minute. During this time, you cannot engage in combat or the talent will be interrupted. At the completion of the talent, you may ask the target up to 3 questions concerning their skills, abilities, weaknesses, etc. You may ask a marshal or wait to ask the target once they are OOG or Out of Combat. You may use this version on PCs, but they can use lie or masking effects against it. If you take double time, you can call a “Hold!” to ask to inspect the target’s character/NPC card to gain full insight into the target’s skills and abilities. This version cannot be used on PCs."
Practical Application,Master,CRAFTING AND LABOR,Passives,7,,,,,"You can use your knowledge to help others be more efficient with their abilities. Pick a knowledge that you have at level 4. RP showing a target tips and tricks related to that knowledge for 5 minutes. Target gains an efficiency related to that knowledge for 1 period. Once per person per weekend, if that knowledge is at level 5, this skill grants an efficiency of 2. All pool efficiencies cannot reduce a cost below 1, and if a talent or ritual Click For Table of Contents"
Pocket Guides,Master,CRAFTING AND LABOR,Passives,3,,,,,"(To make: 5 mins per knowledge level, 1 common Animal/Plant Component,2 pool per knowledge level)   You can write down knowledge into small books for others to use. Choose 1 “Knowledge” that you have and a level equal to or less than that knowledge’s level. You create a single use item that grants the user the inscribed knowledge at the level that you wrote it for 1 period. Just like a scroll, this item can also be used to learn the knowledge (regardless of what level it is written at) as if it were a teacher."
Educational Mentor,Master,CRAFTING AND LABOR,Passives,6,,,,,"“Teaching Assistant” allows you to help someone teach +3 students and reduce the teaching time by 5 minutes. Additionally, you can now use “Intense Study” and “Tutor” 3 times per target per weekend, and no longer have to use it in a Library."
Guidance Counselor,Master,CRAFTING AND LABOR,Passives,7,,,,,"When teaching or assisting in teaching a Title, you may switch out up to 2 skill pre-reqs needed to learn that title with an equal amount of abilities in the same category of a higher Exp cost. Please consult a Click For Table of Contents"
Hands on Training,Master,CRAFTING AND LABOR,Passives,6,,,Drill Instructor,,"You can now use “Training Session,” to temporarily teach someone powers up to Journeyman tier. Additionally, the effects of “Training Session” now lasts until the end of the period."
Improved Relaxed Educator,Master,CRAFTING AND LABOR,Passives,4,,,Relaxed Educator and Group Meditate or Group Rally,,"When using “Relaxed Educator,” you can now affect the individual or group that you are teaching as per the “Group Meditate/ Rally” abilities, allowing them to also “Meditate/Rally” while you teach. If all individuals in this Group Meditate/ Rally are in a Library, they gain an additional +2 Aether/Steam."
Learning by Example,Master,CRAFTING AND LABOR,Passives,4,,,,,"After helping someone learn an ability through “Training Session” or “Tutor,” you gain access to that ability for the remainder of the period. You may only have 1 ability from this skill at a time, but you can swap it with another ability by using this skill again during the same period it was initially used."
Library Custodian,Master,CRAFTING AND LABOR,Passives,4,,,Librarian,,"For 3 Steam, you can use “Protect +Intercede” to protect targets within a Library. You may also use this “Protect +Intercede” outside of a Library on any targets you have used Master Teach, Tutor, Training Session, or Teacher’s Assistant on as well as any students that were taught a skill by you or a teacher you assisted. Additionally, when inside a Library, you can use “Perfect Aim Knockback” for 3 Steam on any enemies that enter the Library."
Practice Makes Perfect,Master,CRAFTING AND LABOR,Passives,5,,,,,"You have a Steam, Aether, or Time Efficiency in any skill you or a teacher you assisted have taught this Event. Additionally, you gain +1 Prof in any Proficiency you or a teacher you assisted via Teacher’s Assistant have taught this Event. These bonuses do not stack for teaching the same skill or proficiency multiple times."
Academy,Master,CRAFTING AND LABOR,Passives,5,,,Librarian,,"RP for 25 minutes in a “Library.” For the remainder of the event, the Library effect now allows abilities to be Master Learned once per period per target instead of once per event per target. Requires area notes."
Librarian,Master,CRAFTING AND LABOR,Passives,7,,,,,RP for 25 minutes setting up a library in a room. Requires Marshal Notes and appropriate physreps. This allows you to designate an area as a “Library” for the remainder of the event. This area can be upgraded into an “Archive” or an “Academy.”
Retraining,Master,CRAFTING AND LABOR,Passives,8,,,,,"You can help a target unlearn 1 ability. You can target yourself with this ability. RP with target for the full amount of time it would take to learn that ability. Once unlearned, that ability is no longer useable and will be removed from their card before the next event. Please mark their card in teaching section with “retrain by headmaster.” The Exp from this ability cannot be spent again until the end of the event. If this ability is a pre-req for other abilities, those abilities cannot be used, but will not be removed from the card or refunded Exp until unlearned. This can only be used once per target per event. Also, once per event you can use this talent to submit a BEA (both you and the target must use a BEA) to help a target unlearn and re-spend all of their spent Exp. This full re-spend cannot be done to yourself. This can only affect a target once per year."
Acid Proficiency,Master,CRAFTING AND LABOR,Passives,3,,,,1,"All acids you administer deal +2 damage. If the acid deals its damage multiple times over its duration, this bonus applies to only the first instance of it. You do not have to be the one who made the acid, you just have to be the one who administers it. Additionally, mortal clockworks and other Constructs who are normally immune to alchemy due to their physiology will now be affected by any alchemy concoctions that you administer to them. You do not have to be the one that made the concoction, you just have to be the one that administers it. If they have abilities or items that protect them from alchemy, they will still work; this ability only ignores racial immunities."
Augment: Gas Alchemy,Master,CRAFTING AND LABOR,Passives,5,,,Augment: Dust Alchemy,,"Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction functions as a dust, except that its effects happen in a Bomb area."
Augment: Greater Alchemy,Master,CRAFTING AND LABOR,Passives,5,,,,,"Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction counts as a Greater biological effect for the purpose of defending against it. In a Hybrid Mixture, all mixed concoctions must either be Greater or not."
Augment: Extra Dosage,Master,CRAFTING AND LABOR,Passives,5,,,Dual Crafting,1,"Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction is created with one additional dose for each purchase of this augment you have. If you use Remake on a concoction which already has this augment on it, you use your purchases of this augment instead of how many doses they had on it before."
Alchemist Bundle: Master Toxins,Master,CRAFTING AND LABOR,Passives,4,,,,,You can make all items in the Master Toxins crafting bundle by following the crafting rules.
Delivery Mastery,Master,CRAFTING AND LABOR,Passives,6,,,,,"When using an alchemy, you may change its delivery method into any delivery method of your choosing that you can craft."
Perfected Toxins,Master,CRAFTING AND LABOR,Passives,8,,,Augment: Extended Alchemy and Augment: Empowered Alchemy,,"Whenever you craft an item that falls under any tier of the Toxins crafting bundle, it comes with one free use of both the “Extended Alchemy” and “Empowered Alchemy” augments that do not count towards their normal maximums."
Limitless Immunity,Master,CRAFTING AND LABOR,Passives,5,,,,1,"Whenever you would passively take no effect from a concoction by any means, you no longer need to actually call “No Effect.” Any active defenses you use must still be called. If the concoction causes physical effects or damage, it will still be obvious that you are not taking those effects, but for ones that don’t have visual giveaways, no one will know. At the start of each Event, choose 1 concoction from the Rulebook for each purchase of this skill you have. Until the end of the Event, you are immune to that concoction as per the “Poison Immunity” skill, except that it does not have to be a poison."
Envenom,Master,CRAFTING AND LABOR,Passives,4,3,,Augment: Viscid Alchemy,,"This feat can only be used with a weapon that has a viscid poison or viscid acid applied to it. The damage and duration of any concoctions delivered to the target with this attack are doubled. If one or more doses of the concoction are Greater, then this feat becomes Greater for no additional cost."
Gland Blade,Master,CRAFTING AND LABOR,Passives,8,,,Augment: Viscid Alchemy,,"Spend the talent’s activation time preparing a bladed melee weapon with a special coating. The weapon is now considered a gland blade for 5 minutes. While the gland blade has at least one dose of viscid poison or viscid acid applied to it, that weapon deals +2 damage. Additionally, when you use the gland blade to deliver a viscid poison or viscid acid, you may pay 2 Steam or Aether for the dose to not be spent."
Augment: Gas Alchemy,Master,CRAFTING AND LABOR,Passives,5,,,Augment: Dust Alchemy,,"Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction functions as a dust, except that it’s effects happen in a “Bomb” area."
Augment: Greater Alchemy,Master,CRAFTING AND LABOR,Passives,6,,,,,"Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction counts as a Greater biological effect for the purpose of defending against it. In a Hybrid Mixture, all mixed concoctions must either be Greater or not."
Augment: Extra Dosage,Master,CRAFTING AND LABOR,Passives,5,,,Dual Crafting,1,Can only be used when crafting a concoction. Adds +20 minutes and +8 pool to the item’s final crafting costs. The concoction is created with one additional dose for each purchase of this augment you have.
Alchemist Bundle: Master Tonics,Master,CRAFTING AND LABOR,Passives,4,,,,,You can make all items in the Master Tonics crafting bundle by following the crafting rules.
Delivery Mastery,Master,CRAFTING AND LABOR,Passives,6,,,,,"When using an alchemy, you may change its delivery method into any delivery method of your choosing that you can craft."
Medicine Proficiency,Master,CRAFTING AND LABOR,Passives,4,,,,1,"When you administer a concoction to yourself or another character, all Vaea it restores is increased by 2 per purchase of this skill and all Steam and Aether it restores is increased by 1 per purchase of this skill. If a concoction restores Vaea or pool multiple times over its duration, this bonus only applies to the first instance of it. You do not have to have made the concoction, but you have to be administering it. You may use purchases of Healing Proficiency or First Aid Proficiency in place of purchases of this skill to determine how high this skill’s bonus is. They do not all stack together; only the highest of the three will be used. Also, mortal clockworks and other Constructs who are normally immune to alchemy will now be affected by alchemy that you administer to them. You do not have to have made the concoction, but you have to be administering it. If they have abilities or items that protect them from alchemy, those abilities will still work; this ability only ignores racial immunities. This part of the skill does not benefit from being purchased multiple times."
Perfected Tonics,Master,CRAFTING AND LABOR,Passives,8,,,,,"Whenever you craft an item that falls under any tier of the Tonics crafting bundle, it comes with one free use of both the Empowered Alchemy and Extended Alchemy augments that do not count towards their normal maximums."
Flash Craft,Master,CRAFTING AND LABOR,Passives,6,,,,,". Each time you cast this spell, choose one alchemy concoction that you know how to make (add that concoction’s name to the end of the spell verbal). This spell’s Aether cost is double that concoction’s pool cost to craft. This spell has that concoction’s effect, except that it is defended against as a spell attack instead of a biological attack and the delivery method is that of a normal spell instead. If it has multiple options chosen when first crafted, you choose the options as you cast it. If the concoction has unique components, those must be spent as an additional cost to casting this spell. No augments can be applied to this spell. Click For Table of Contents"
Everflowing Grail,Master,CRAFTING AND LABOR,Passives,8,,,,,"Spend the talent’s activation time preparing a drinking cup, flask, waterskin, or similar object with a special coating. The object now counts as an everflowing grail for 5 minutes. Whenever a dose of an ingested concoction is imbibed by drinking it from the grail, the dose is not expended. Any augments on the dose are not expended either. Concoctions that restore Vaea, Steam, or Aether cannot be used with the grail. The grail lasts for 5 minutes before it returns to its regular function again, and any concoction that was still within it becomes fully used up."
Incense Zone,Master,CRAFTING AND LABOR,Passives,6,,,Incensed Workbench and Augment: Gas Alchemy,,"Persistent. This talent also costs three doses of a concoction (one dose from multiple concoctions can be used instead, but they need to have the exact same effects and augments). It also costs 4 crafting kits to establish either a 10-foot radius area outside, or one full room/hallway while inside. It costs no crafting kits if that area includes a permanent workbench. You take the time setting up alchemical incense sticks drawn from the chosen doses in your possession. These sticks are stationary objects with Hardness 1 and must have Area Notes explaining their effect. The concoction used may be of any delivery method, but the zone always counts as a gas concoction for the purposes of defenses. The effects of that concoction are applied to all characters within the incense zone. If the concoction has a duration, it is instead constantly active in the zone and ends on a character when they leave the zone. If it does not have a duration, it is applied to a character the first time they enter the zone each Period and then repeated for every 10 minutes they spend there. This will not affect Clockworks. Duration: 1 Weekend or until Sundered."
Augment: Divine-Gineering,Master,CRAFTING AND LABOR,Passives,3,,,,,"Can only be used when crafting an Engineer device. Adds 1 Affinity Shard of choice, +20 minutes, and +8 Pool to the item’s final crafting costs. The Affinity Shard is in addition to any other unique components in the item’s base crafting costs. Choose a deity associated with the Affinity Shard you are using for this augment. Whenever a character who is baptized to the chosen deity wields this device, they may use it with the Use Device skill one level lower than necessary (novice devices no longer need any Use Device skill to work) and can activate the device for 1 less Pool (minimum of 1). If this is used on a firearm, wielders with the chosen baptism may use it to shoot for physical Affinity bullet damage (they still require the appropriate Fighting Style to wield it regardless of Baptism)."
Augment: Mage’s Device,Master,CRAFTING AND LABOR,Passives,3,,,,,"Can only be used when crafting an Engineer device. Adds +20 minutes and +8 Pool to the item’s final crafting costs. The device’s wielder can use their Knowledge: Arcana levels in place of the appropriate Use Device ability, to a maximum of Master. Level 1 = Novice. Level 2 = Apprentice. Level 3 = Journeyman. Level 4 = Master."
Augment: V.O.R.G.A. (Voice-Operated-RayGun-Augmentation),Master,CRAFTING AND LABOR,Passives,4,,,,,"Can only be used when crafting an aethertekk raygun device. Adds +20 minutes and +8 Pool to the item’s final crafting costs. Rayguns are fickle creations. Keeping one fully empowered overloads the Nexial matrix and causes deadly complications, but you have found a way to apply temporary improvements triggered by a voice command. When activating this raygun, the wielder can spend +3 Aether and say the command phrase, “Ex Terra Vox Astrum, [type of raygun] Activate!” Doing so makes this activation a “Greater” attack. Additionally, if the raygun has an effect with a duration, the wielder may sustain that effect as if concentrating on a spell, making the duration last until their concentration is broken. If the raygun has an instant effect with no duration, then it makes the next activation have an “Arc” area instead."
Channel Inert,Master,CRAFTING AND LABOR,Passives,3,,,Re-Calibrate Device and Energy Conductor,,You may instantly swap the “Inert” condition from one device to another by touching both of them at once. The duration of “Inert” stays the same as it is applied to the new device.
Converse with Aethertek,Master,CRAFTING AND LABOR,Passives,5,,,,,” and “Speak with Creature (Construct).”
Engineer Bundle: Aethertek,Master,CRAFTING AND LABOR,Passives,4,,,,,"(Pre-req: either the Journeyman Gadgets bundle or the Journeyman Hazards bundle). You can create items from 2 different categories: Gadgets and Hazards. You have access to Master Gadgets if you have the Journeyman Gadgets bundle, and Master Hazards if you have the Journeyman Hazards bundle."
Ground Inert,Master,CRAFTING AND LABOR,Passives,4,,2,,,". Latent. Invoke to defend against an effect that would cause an Engineer device on your person from becoming “Inert.”  If successful, you may call “Revenge 10 Earth spell damage” against the source of the Inert."
Safety Shield,Master,CRAFTING AND LABOR,Passives,6,,2,,,"Latent. Invoke to defend against any effect caused by an Engineer device or Construct creature. For example, this could defend against a construct attack, firearm attack (including Assassinate delivered via bullet), grenade explosion, Springbound Smith weapon attack, malfunctioning device, booby trap, etc."
Bestow Aetherwork,Master,CRAFTING AND LABOR,Passives,5,,,,,". Can only be used on devices that deal numerical damage such as firearms, grenades, some Guile and booby traps, and Springbound Smith weapons. For 1 hour, the device may deal + X Astral damage. X = the combined levels of your “Knowledge: Arcana” and “Knowledge: Engineering.”"
Augment: Bulletling,Master,CRAFTING AND LABOR,Passives,3,,,Master Crankling crafting bundle,,"Can only be used when crafting a Crankling. Adds +20 minutes and +8 Pool to the Crankling’s final crafting costs. At its master’s command, the Crankling is capable of transforming itself into a bullet and being shot from a firearm. The Crankling doesn’t do any damage this way, but it must be defended against as a firearm attack. If it hits a target that it is able to attach itself to, it will do so and function normally once attached. If the shot misses or is defended against, the Crankling returns to its master after 5 seconds as usual. Click For Table of Contents"
Augment: Extra Modules,Master,CRAFTING AND LABOR,Passives,4,,,Master Crankling crafting bundle,1,Can only be used when crafting a brass soldier. Adds +20 minutes and +8 Pool to the brass soldier’s final crafting costs. The brass soldier is capable of having 3 additional module devices integrated into it. You can apply this augment to a brass soldier a number of times equal to your purchases of this ability.
Augment: Semi-Autonomous,Master,CRAFTING AND LABOR,Passives,5,,,,,"Can only be used when crafting an Engineer device. Adds +20 minutes and +8 Pool to the item’s final crafting costs. This augment is only useful on devices that are not inherently autonomous, and has no effect if used on a Crankling or brass soldier. At the start of each Period, this device becomes temporarily autonomous, allowing it to be activated up to three times during that Period regardless of whether the user has the appropriate “Use Device” ability or not. If the user does have the appropriate ability, then the device costs 1 less Pool point to activate instead for those three uses per Period. If used on a firearm, it may be fired up to three times per Period by someone who does not have the appropriate Fighting Style, and if used by someone who does have the appropriate Fighting Style it instead grants Efficiency for the first three feats used with it per Period."
Clockwork Integration,Master,CRAFTING AND LABOR,Passives,5,,,Remake,,"You may use “Remake” on mortal clockworks that are willing, immobilized, or “Incapacitated.” The only thing you can do while using “Remake” on a Mortal clockwork this way is to add or remove engineer devices with the “Integrate Device” augment. Characters who have devices integrated into their bodies always know how to use them. Mortals count as “Integration Hubs,” but you may still install implant devices into them as normal and no effect can ever make them not count as Integration Hubs. You may do this to yourself if you are a valid target. Additionally, the “Integrate Device” augment costs no Pool and only 1 minute when being used on a mortal clockwork."
Engineer Bundle: Constructs,Master,CRAFTING AND LABOR,Passives,4,,,,,"If you know the Journeyman Gadgets bundle, then you gain access to the Cranklings crafting bundle. If you know the Journeyman Hazards bundle, then you gain access to the Brass Soldier crafting bundle."
Lifecraft,Master,CRAFTING AND LABOR,Passives,4,,,,,"When you use “First Aid” on a construct creature or mortal clockwork, you count as having 10 additional First Aid Proficiencies. Additionally, when using “General Repair” to give a Life effect to a construct creature or mortal clockwork, the time to do so is reduced to 1 minute."
Paralyze Construct,Master,CRAFTING AND LABOR,Passives,6,4,,,,Only works on construct creatures and mortal clockworks. Tag target. Target is Paralyzed for 30 seconds. Call “Paralyze Construct. 30 seconds.”
Overclock Construct,Master,CRAFTING AND LABOR,Passives,4,,,,,"Only works on construct creatures and mortal clockworks. The target gains +2 Strength and +2 Natural Armor Rating for 1 hour, and afterwards they suffer a Deficiency with Steam and Aether for 1 hour. This talent cannot be used on a target that is still under the effects of either part. You may instead choose to reduce the bonus to just +1 Strength for 1 hour and not give the target any drawbacks afterwards. You may use this talent on yourself if you are a valid target. Click For Table of Contents"
Refuel Construct,Master,CRAFTING AND LABOR,Passives,6,,,,,"Only works on construct creatures and mortal clockworks. If used on mortal clockworks they cannot use “Rally” or “Meditate” while you are using this talent. The target regains 5 Steam and Aether. You must remain within physical contact with the target while you are using this talent, and the target must not move, fight, or use powers or else it disrupts you. You may use this talent on yourself if you are a valid target."
Shift Gears,Master,CRAFTING AND LABOR,Passives,8,,,,,"Only works on construct creatures and mortal clockworks. The target must be either willing, immobilized, or “Incapacitated.” After the first 20 seconds that the talent has been sustained for, the target will shut down and become “Paralyzed” until the rest of the talent is completed or if you stop the talent early. Once this talent is completed, the target is no longer “Paralyzed” or “Incapacitated,” and you may choose to cure any number of the following effects on the target or choose any number of them to apply to the target, each one lasting for one hour and counting as a separate Greater Biological attack: Blind, Charm (choose any present target), Deaf, Dominate (choose any present target), Fear (choose any present target), Hamstring, Incapacitate, feat Ineptitude, spell Ineptitude, Pacify, Pain, Paralysis, Rampage, Silence, Slowness, Taunt (choose any present target), Terror (choose any present target), or alternatively you can erase/rewrite/restore up to one hour of their memory which is permanent until cured. You may use this talent on yourself if you are a valid target. If the target is not a Player Character, the effects that you apply are permanent until cured unless they are a Boss level creature, but for the Dominate effect specifically, the creature may sometimes malfunction and break when controlled for too long (such as when Plot needs their NPC back)."
Augment: E-Z Gyde,Master,CRAFTING AND LABOR,Passives,4,,,,,"You create an instruction guide detailing in very basic terms how to operate this device and attach it to the device itself. Can only be used when crafting an engineer device that requires one of the Use Device or firearm style skills to use. Adds +20 minutes and +8 Pool to the item’s final crafting costs. This augment reduces the tier of Use Device skill needed by 2, to a minimum of no skill needed. When used on a firearm, it allows it to be used without needing the appropriate firearm style, but no proficiencies can be applied, and no firearm mods can be activated unless the wielder has the appropriate style skill."
Device Mastery,Master,CRAFTING AND LABOR,Passives,3,,,,,The Device Efficiency skill is now multi-purchase.
Engineer Bundle: Demolisher Devices,Master,CRAFTING AND LABOR,Passives,4,,,,,You can make all items in the Demolisher Hazards crafting bundle by following the crafting rules.
Grenade Bouquet,Master,CRAFTING AND LABOR,Passives,3,,,Augment: Integrate Device,,"You can now Integrate grenades together. The Boosted Grenades augment can be applied to each individual grenade, but any other effects that modify the Vaea damage or healing done by grenades applies only to the final sum of damage or healing."
Grenade Proficiency,Master,CRAFTING AND LABOR,Passives,3,,,,1,"The damage and Vaea healing of any grenade device that you use is increased by +2 per purchase. You do not have to be the one who made the grenade, only the one who is using it. This bonus stacks with the extra damage and healing from the Boosted Grenades augment."
Unorthodox Assault,Master,CRAFTING AND LABOR,Passives,3,,,Augment: Integrate Device,,". You may now Integrate firearm mods into any engineer device, including Wireframe Apparel, Springbound Weapons, and Marvels. Attacks from mods that would normally be represented by a shot from the firearm may instead be represented by a thrown spell packet and are defended against as bullet attacks. Mod attacks made with springbound weapons can be used by striking with the weapon instead but are defended against as normal physical attacks and not as bullet attacks. Not all mods are functional when Integrated with something besides a firearm. Mods that enhance a bullet attack rather than make their own attack cannot be used via packet throw, they must enhance the attack of a springbound weapon instead. Feats may be used in combination with firearm mods, just like using them with an actual firearm. Perfect Aim does not function on melee weapons. A springbound weapon cannot have its fighting style requirement changed."
Hit the Deck,Master,CRAFTING AND LABOR,Passives,5,3,,,,"Defends against an attack whose area is Wave, Bomb, or in a Line of Effect."
Ammo Station,Master,CRAFTING AND LABOR,Passives,6,,,,,"You create a stationary area with a 10 feet radius lined up with ammo boxes. Characters who stay within the area deal +2 damage with firearm attacks and firearms in the area do not need to spend ammo to fire (OoG darts must still be used). This bonus does not change depending on the kind of bullets spent activating this talent. None of the free bullets shot with this talent can leave spent shells. Three characters each with one of the firearm fighting style skills may work together to “pick up” and relocate the area, walking heel-to-toe while doing so. The area lasts for 5 minutes or until you choose to end it."
Demolish,Master,CRAFTING AND LABOR,Passives,4,,,,,"Take a knee at a location and spend any amount of time (minimum of 1 minute) RP piling up and overclocking the grenades you are spending so that they will explode with devastating effect. Once you are done, you may then choose any amount of time up to 10 minutes for the fuse duration (giving you a chance to get clear of the blast radius). A character with any level of Knowledge: Engineering or any Use Device skill can spend 30 seconds figuring out the secret to dousing the fuse, which stops the explosives and this talent. If the fuse is stopped, the grenades are not spent and can be taken and used normally. If the fuse time has passed however, the explosive triggers and deals Direct Vaea damage equal to 10 times the number of minutes it took to activate this talent in a 20 foot radius. Additionally, all items within the explosion’s range that have a Hardness equal to or less than the number of minutes it took to activate this talent is Destroyed. A Click For Table of Contents"
Disarm Master Booby Traps,Master,CRAFTING AND LABOR,Passives,5,,,Disarm Journeyman Booby Trap,,". Disarms a Master or lower booby trap if you have detected it first. Does not work on traps made with Guile talents, even if they were made with engineered devices."
Augment: Area Scroll,Master,CRAFTING AND LABOR,Passives,5,,,,,"Can only be used when crafting a scroll. Adds +20 minutes and +8 pool to the item’s final crafting costs. The scroll has its area of effect changed. When you apply this augment to a scroll, choose one of the following areas: Lance, Arc, Cross, Wave, Bomb, or you can make it have no area and effect just one target. This augment cannot be used on a scroll that is a passive skill, a self-only power, or a defensive feat. There is no additional effect if this scroll is used to learn the power from instead. If this scroll is the component used when making a wand (not if being used to “Replenish Wands”), then three times per Period the wand’s user may augment one of its charges with the chosen area."
Augment: Gestalt Scrolls,Master,CRAFTING AND LABOR,Passives,8,,,,,"Can only be used when crafting a scroll. Adds +20 minutes and +8 Pool to the Item’s final crafting costs. This scroll now can hold 2 passives, powers, or talents with it, and the reader gains an invokable use of both Click For Table of Contents"
Augment: Greater Scroll,Master,CRAFTING AND LABOR,Passives,8,,,,,"Can only be used when crafting a scroll. Adds +20 minutes and +8 pool to the item’s final crafting costs. When this scroll is invoked for a power, that power is “Greater.”  Learning from a Greater scroll counts as being “Master Taught.”  If a Greater scroll is the component used when making a wand (not if being used to “Replenish Wands”), then once per Period the wand’s user may augment one of its charges with Greater."
Augment: Scroll of Striking,Master,CRAFTING AND LABOR,Passives,4,,,,,"Can only be used when crafting a scroll. Adds +20 minutes and +8 pool to the item’s final crafting costs. When the scroll is invoked, its effect is augmented with “Speed” if it is delivered via touch/melee or with “Perfect Aim” if it is delivered via ranged/packet toss. This augment cannot be used on a scroll that is a passive skill, a self-only power, or a defensive feat. There is no additional effect if this scroll is instead used to learn the power from. If this scroll is the component used when making a wand (not if being used to “Replenish Wands”), then once per Period the wand’s user may augment one of its charges with “Perfect Aim.”"
Augment: True Passive Scroll,Master,CRAFTING AND LABOR,Passives,9,,,,,"Can only be used when crafting a passive scroll. Adds +20 minutes and +8 pool to the item’s final crafting costs. The scroll can now be invoked for one charge to give the invoker access to that passive skill for 1 hour. If you already know that passive skill naturally, you will not gain any benefit from this scroll unless it is a multi- purchase skill. If the passive skill can only be used a certain number of times per Period or per Event, this scroll ignores that limit (each charge of the scroll is one use)."
Augment: True Ritual Scroll,Master,CRAFTING AND LABOR,Passives,6,,,,,"Can only be used when crafting a ritual scroll. Adds +20 minutes and +8 pool to the item’s final crafting costs. The ritual scroll can now use a charge to have that ritual cast from it. It takes the normal amount of time to cast the ritual from a scroll, but it does not need any non-unique components or non-Aggravated pool expenditure to use."
Concentrated Polymerization,Master,CRAFTING AND LABOR,Passives,8,,,,,"When you use the Polymerization augment, you may choose to combine any number of spell foci and/or wands that you know how to craft. However, each additional focus or wand that an item includes after the second one takes up one of the item’s enhancement slots. No more of these bonus foci nor wands can be added to an item if all of its enchantment slots are filled."
Inscriptionist Bundle: Master Sources,Master,CRAFTING AND LABOR,Passives,4,,,,,You can make all items in the Master Sources crafting bundle by following the crafting rules.
Scrivener’s Power,Master,CRAFTING AND LABOR,Passives,6,,,,,"If a grimoire in your possession contains a feat scroll or spell scroll that is out of charges, you may spend the power’s pool costs to use it anyway, including any augments that are on the scroll for no additional cost. If it contains a talent scroll that is out of charges, you may use the talent anyway by spending double the talent’s activation time. Additionally, when you teach a character an ability and you have a scroll of that ability inscribed in a grimoire in your possession, it takes only one Period for them to be able to use that ability instead of two Periods. You may spend 6 Pool to make it count as Master Teach instead. This ability also applies to yourself when you learn from a scroll that is inscribed in a grimoire."
Scrivener’s Proficiency,Master,CRAFTING AND LABOR,Passives,3,,,,,You may apply any appropriate proficiencies you have to any power you use through a scroll.
Augment: Coalesced Aetherwork,Master,CRAFTING AND LABOR,Passives,6,,,,1,"Can only be used on a talisman or verge. Adds +20 minutes and +8 pool to the item’s final crafting costs. The item gains “Aetherwork X”, where X is the number of purchases of this augment you have. Aetherwork values never stack, so only the latest use of this augment on the item will determine its Aetherwork value (but only if it is a higher value than the current one). If an item does not have this augment on it, its Aetherwork value is 0. Talismans, shield verges, and weapon verges grant their wielder Soak against spell effects equal to their Aetherwork value. Weapon and Instrument verges grant additional spell damage and healing equal to their Click For Table of Contents"
